,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-L/100km,price,price-binned,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
0,3,122,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.81,0.89,0.82,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,11.19,8.7,13495.0,Low,Low,0,1,1,0
1,3,122,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.81,0.89,0.82,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,11.19,8.7,16500.0,Low,Low,0,1,1,0
2,1,122,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,0.82,0.91,0.88,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000.0,12.37,9.04,16500.0,Low,Medium,0,1,1,0
3,2,164,audi,gas,std,four,sedan,fwd,front,99.8,0.85,0.92,0.91,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500.0,9.79,7.83,13950.0,Low,Low,0,1,1,0
4,2,164,audi,gas,std,four,sedan,4wd,front,99.4,0.85,0.92,0.91,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500.0,13.06,10.68,17450.0,Low,Low,0,1,1,0
5,2,122,audi,gas,std,two,sedan,fwd,front,99.8,0.85,0.92,0.89,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.37,9.4,15250.0,Low,Low,0,1,1,0
6,1,158,audi,gas,std,four,sedan,fwd,front,105.8,0.93,0.99,0.93,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.37,9.4,17710.0,Low,Low,0,1,1,0
7,1,122,audi,gas,std,four,wagon,fwd,front,105.8,0.93,0.99,0.93,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.37,9.4,18920.0,Medium,Low,0,1,1,0
8,1,158,audi,gas,turbo,four,sedan,fwd,front,105.8,0.93,0.99,0.93,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500.0,13.82,11.75,23875.0,Medium,Medium,0,1,0,1
9,2,192,bmw,gas,std,two,sedan,rwd,front,101.2,0.85,0.9,0.91,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,10.22,8.1,16430.0,Low,Low,0,1,1,0
10,0,192,bmw,gas,std,four,sedan,rwd,front,101.2,0.85,0.9,0.91,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,10.22,8.1,16925.0,Low,Low,0,1,1,0
11,0,188,bmw,gas,std,two,sedan,rwd,front,101.2,0.85,0.9,0.91,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.19,8.39,20970.0,Medium,Medium,0,1,1,0
12,0,188,bmw,gas,std,four,sedan,rwd,front,101.2,0.85,0.9,0.91,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.19,8.39,21105.0,Medium,Medium,0,1,1,0
13,1,122,bmw,gas,std,four,sedan,rwd,front,103.5,0.91,0.93,0.93,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.75,9.4,24565.0,Medium,Medium,0,1,1,0
14,0,122,bmw,gas,std,four,sedan,rwd,front,103.5,0.91,0.93,0.93,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,14.69,10.68,30760.0,Medium,Medium,0,1,1,0
15,0,122,bmw,gas,std,two,sedan,rwd,front,103.5,0.93,0.94,0.9,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,14.69,10.68,41315.0,High,Medium,0,1,1,0
16,0,122,bmw,gas,std,four,sedan,rwd,front,110.0,0.95,0.98,0.94,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,15.67,11.75,36880.0,High,Medium,0,1,1,0
17,2,121,chevrolet,gas,std,two,hatchback,fwd,front,88.4,0.68,0.84,0.89,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100.0,5.0,4.43,5151.0,Low,Low,0,1,1,0
18,1,98,chevrolet,gas,std,two,hatchback,fwd,front,94.5,0.75,0.88,0.87,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,6.18,5.47,6295.0,Low,Low,0,1,1,0
19,0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,0.76,0.88,0.87,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,6.18,5.47,6575.0,Low,Low,0,1,1,0
20,1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,0.76,0.89,0.85,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500.0,6.35,5.73,5572.0,Low,Low,0,1,1,0
21,1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,0.76,0.89,0.85,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.58,6.18,6377.0,Low,Low,0,1,1,0
22,1,118,dodge,gas,turbo,two,hatchback,fwd,front,93.7,0.76,0.89,0.85,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,9.79,7.83,7957.0,Low,Low,0,1,0,1
23,1,148,dodge,gas,std,four,hatchback,fwd,front,93.7,0.76,0.89,0.85,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.58,6.18,6229.0,Low,Low,0,1,1,0
24,1,148,dodge,gas,std,four,sedan,fwd,front,93.7,0.76,0.89,0.85,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.58,6.18,6692.0,Low,Low,0,1,1,0
25,1,148,dodge,gas,std,four,sedan,fwd,front,93.7,0.76,0.89,0.85,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.58,6.18,7609.0,Low,Low,0,1,1,0
26,1,148,dodge,gas,turbo,four,sedan,fwd,front,93.7,0.76,0.89,0.85,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,9.79,7.83,8558.0,Low,Low,0,1,0,1
27,-1,110,dodge,gas,std,four,wagon,fwd,front,103.3,0.84,0.9,1.0,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000.0,9.79,7.83,8921.0,Low,Low,0,1,1,0
28,3,145,dodge,gas,turbo,two,hatchback,fwd,front,95.9,0.83,0.92,0.84,2811,ohc,four,156,mfi,3.6,3.9,7.0,145,5000.0,12.37,9.79,12964.0,Low,Medium,0,1,0,1
29,2,137,honda,gas,std,two,hatchback,fwd,front,86.6,0.69,0.89,0.85,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800.0,4.8,4.35,6479.0,Low,Low,0,1,1,0
30,2,137,honda,gas,std,two,hatchback,fwd,front,86.6,0.69,0.89,0.85,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.58,6.18,6855.0,Low,Low,0,1,1,0
31,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.72,0.89,0.88,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500.0,6.18,5.6,5399.0,Low,Low,0,1,1,0
32,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.72,0.89,0.88,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.83,6.91,6529.0,Low,Low,0,1,1,0
33,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.72,0.89,0.88,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.83,6.91,7129.0,Low,Low,0,1,1,0
34,0,110,honda,gas,std,four,sedan,fwd,front,96.5,0.79,0.89,0.91,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.83,6.91,7295.0,Low,Low,0,1,1,0
35,0,78,honda,gas,std,four,wagon,fwd,front,96.5,0.75,0.89,0.97,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000.0,7.83,6.91,7295.0,Low,Low,0,1,1,0
36,0,106,honda,gas,std,two,hatchback,fwd,front,96.5,0.8,0.91,0.89,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.7,7.12,7895.0,Low,Low,0,1,1,0
37,0,106,honda,gas,std,two,hatchback,fwd,front,96.5,0.8,0.91,0.89,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.7,7.12,9095.0,Low,Low,0,1,1,0
38,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.84,0.91,0.9,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.7,7.12,8845.0,Low,Low,0,1,1,0
39,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.84,0.87,0.9,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.7,7.12,10295.0,Low,Low,0,1,1,0
40,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.84,0.91,0.9,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800.0,9.79,8.39,12945.0,Low,Low,0,1,1,0
41,1,107,honda,gas,std,two,sedan,fwd,front,96.5,0.81,0.92,0.85,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500.0,9.4,7.58,10345.0,Low,Low,0,1,1,0
42,0,122,isuzu,gas,std,four,sedan,rwd,front,94.3,0.82,0.86,0.89,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800.0,9.79,8.1,6785.0,Low,Low,0,1,1,0
43,2,122,isuzu,gas,std,two,hatchback,rwd,front,96.0,0.83,0.91,0.86,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000.0,9.79,8.1,11048.0,Low,Low,0,1,1,0
44,0,145,jaguar,gas,std,four,sedan,rwd,front,113.0,0.96,0.97,0.88,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15.67,12.37,32250.0,High,Medium,0,1,1,0
45,0,122,jaguar,gas,std,four,sedan,rwd,front,113.0,0.96,0.97,0.88,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15.67,12.37,35550.0,High,Medium,0,1,1,0
46,0,122,jaguar,gas,std,two,sedan,rwd,front,102.0,0.92,0.98,0.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000.0,18.08,13.82,36000.0,High,High,0,1,1,0
47,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.76,0.89,0.9,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.83,7.58,5195.0,Low,Low,0,1,1,0
48,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.76,0.89,0.9,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.58,6.18,6095.0,Low,Low,0,1,1,0
49,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.76,0.89,0.9,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.58,6.18,6795.0,Low,Low,0,1,1,0
50,1,113,mazda,gas,std,four,sedan,fwd,front,93.1,0.8,0.89,0.9,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.58,6.18,6695.0,Low,Low,0,1,1,0
51,1,113,mazda,gas,std,four,sedan,fwd,front,93.1,0.8,0.89,0.9,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000.0,7.58,6.18,7395.0,Low,Low,0,1,1,0
52,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.81,0.91,0.83,2380,rotor,two,70,4bbl,3.33,3.26,9.4,101,6000.0,13.82,10.22,10945.0,Low,Low,0,1,1,0
53,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.81,0.91,0.83,2380,rotor,two,70,4bbl,3.33,3.26,9.4,101,6000.0,13.82,10.22,11845.0,Low,Low,0,1,1,0
54,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.81,0.91,0.83,2385,rotor,two,70,4bbl,3.33,3.26,9.4,101,6000.0,13.82,10.22,13645.0,Low,Low,0,1,1,0
55,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.81,0.91,0.83,2500,rotor,two,80,mpfi,3.33,3.26,9.4,135,6000.0,14.69,10.22,15645.0,Low,Medium,0,1,1,0
56,1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,0.85,0.92,0.9,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.04,7.34,8845.0,Low,Low,0,1,1,0
57,0,115,mazda,gas,std,four,sedan,fwd,front,98.8,0.85,0.92,0.93,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.04,7.34,8495.0,Low,Low,0,1,1,0
58,1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,0.85,0.92,0.9,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.04,7.34,10595.0,Low,Low,0,1,1,0
59,0,115,mazda,gas,std,four,sedan,fwd,front,98.8,0.85,0.92,0.93,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.04,7.34,10245.0,Low,Low,0,1,1,0
60,0,122,mazda,diesel,std,four,sedan,fwd,front,98.8,0.85,0.92,0.93,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650.0,6.53,5.6,10795.0,Low,Low,1,0,1,0
61,0,115,mazda,gas,std,four,hatchback,fwd,front,98.8,0.85,0.92,0.93,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.04,7.34,11245.0,Low,Low,0,1,1,0
62,0,118,mazda,gas,std,four,sedan,rwd,front,104.9,0.84,0.92,0.91,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000.0,12.37,8.7,18280.0,Low,Medium,0,1,1,0
63,0,122,mazda,diesel,std,four,sedan,rwd,front,104.9,0.84,0.92,0.91,2700,ohc,four,134,idi,3.43,3.64,22.0,72,4200.0,7.58,6.03,18344.0,Low,Low,1,0,1,0
64,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,0.92,0.98,0.94,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.68,9.4,25552.0,Medium,Medium,1,0,0,1
65,-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,0.92,0.98,0.98,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.68,9.4,28248.0,Medium,Medium,1,0,0,1
66,0,93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,0.9,0.98,0.92,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.68,9.4,28176.0,Medium,Medium,1,0,0,1
67,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,0.97,1.0,0.94,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.68,9.4,31600.0,Medium,Medium,1,0,0,1
68,-1,122,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,0.97,1.0,0.94,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,14.69,13.06,34184.0,High,Medium,0,1,1,0
69,3,142,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,0.87,0.98,0.85,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,14.69,13.06,35056.0,High,Medium,0,1,1,0
70,0,122,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,1.0,1.0,0.95,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184,4500.0,16.79,14.69,40960.0,High,Medium,0,1,1,0
71,1,122,mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,0.96,1.0,0.93,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184,4500.0,16.79,14.69,45400.0,High,Medium,0,1,1,0
72,1,122,mercury,gas,turbo,two,hatchback,rwd,front,102.7,0.86,0.94,0.92,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175,5000.0,12.37,9.79,16503.0,Low,Medium,0,1,0,1
73,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.76,0.89,0.85,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,6.35,5.73,5389.0,Low,Low,0,1,1,0
74,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.76,0.89,0.85,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,7.58,6.18,6189.0,Low,Low,0,1,1,0
75,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.76,0.89,0.85,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,7.58,6.18,6669.0,Low,Low,0,1,1,0
76,1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,0.76,0.89,0.85,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500.0,9.79,7.83,7689.0,Low,Low,0,1,0,1
77,3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,0.83,0.91,0.83,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,10.22,7.83,9959.0,Low,Low,0,1,0,1
78,3,153,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,0.83,0.91,0.83,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,7.34,8499.0,Low,Low,0,1,1,0
79,3,122,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.83,0.92,0.84,2833,ohc,four,156,spdi,3.58,3.86,7.0,145,5000.0,12.37,9.79,12629.0,Low,Medium,0,1,0,1
80,3,122,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.83,0.92,0.84,2921,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,12.37,9.79,14869.0,Low,Medium,0,1,0,1
81,3,122,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.83,0.92,0.84,2926,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,12.37,9.79,14489.0,Low,Medium,0,1,0,1
82,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.83,0.91,0.86,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,7.34,6989.0,Low,Low,0,1,1,0
83,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.83,0.91,0.86,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,7.34,8189.0,Low,Low,0,1,1,0
84,1,125,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,0.83,0.91,0.86,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,10.22,7.83,9279.0,Low,Low,0,1,0,1
85,-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.83,0.91,0.86,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,10.22,7.83,9279.0,Low,Low,0,1,1,0
86,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.79,0.89,0.91,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.58,6.35,5499.0,Low,Low,0,1,1,0
87,1,128,nissan,diesel,std,two,sedan,fwd,front,94.5,0.79,0.89,0.91,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800.0,5.22,4.7,7099.0,Low,Low,1,0,1,0
88,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.79,0.89,0.91,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.58,6.35,6649.0,Low,Low,0,1,1,0
89,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,0.79,0.89,0.91,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.58,6.35,6849.0,Low,Low,0,1,1,0
90,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,0.82,0.89,0.89,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.58,6.35,7349.0,Low,Low,0,1,1,0
91,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.79,0.89,0.91,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.58,6.35,7299.0,Low,Low,0,1,1,0
92,1,128,nissan,gas,std,two,hatchback,fwd,front,94.5,0.8,0.89,0.89,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.58,6.35,7799.0,Low,Low,0,1,1,0
93,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,0.79,0.89,0.91,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.58,6.35,7499.0,Low,Low,0,1,1,0
94,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,0.82,0.89,0.89,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.58,6.35,7999.0,Low,Low,0,1,1,0
95,2,168,nissan,gas,std,two,hardtop,fwd,front,95.1,0.78,0.89,0.89,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.58,6.35,8249.0,Low,Low,0,1,1,0
96,0,106,nissan,gas,std,four,hatchback,fwd,front,97.2,0.83,0.91,0.91,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,8.7,6.91,8949.0,Low,Low,0,1,1,0
97,0,106,nissan,gas,std,four,sedan,fwd,front,97.2,0.83,0.91,0.91,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,8.7,6.91,9549.0,Low,Low,0,1,1,0
98,0,128,nissan,gas,std,four,sedan,fwd,front,100.4,0.87,0.92,0.92,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,13.82,10.68,13499.0,Low,Medium,0,1,1,0
